商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
醇粹 中小型犬成犬粮 10kg 55%肉含量,¥288.00,¥316.80,5.0,845,3,//img-new.boqiicdn.com/Data/Shop/0/88/8842/shoppicpath11572504576_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8842.html,103331,10kg,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟话谷朊粉、天然海,粗蛋白质≥29%、粗脂肪≥12%、钙≥1.2%,小型犬成犬,标准粒,鸡肉,18个月,10.35KG,￥316.8
醇粹 大型犬幼犬粮 15kg 55%肉含量,¥408.00,¥448.80,4.9,368,2,//img-new.boqiicdn.com/Data/Shop/0/88/8843/shoppicpath11572505002_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8843.html,103332,15kg,鸡肉、深海鱼肉、深海鱼油,粗蛋白质≥30%、粗脂肪≥13%、钙≥1.2%,18月龄以下大型犬,标准粒,鸡肉,18个月,15.64KG,￥448.8
醇粹 大型犬成犬粮 15kg 55%肉含量,¥388.00,¥426.80,5.0,1415,4,//img-new.boqiicdn.com/Data/Shop/0/88/8844/shoppicpath11572505372_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8844.html,103333,15kg,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟话谷朊粉、天然海,粗蛋白≥29%、粗脂肪≥12%、OMEGA3≥0.8%、OMEG,1-5岁大型犬成犬,标准颗粒,鸡肉鱼肉关节亮毛配方,18个月,15.32KG,￥426.8
科德士 宠物电推剪剪毛剃毛器CP-9500适用 电源式充电式两用,¥250.00,¥270.40,5.0,18,0,//img-new.boqiicdn.com/Data/Shop/0/88/8879/shoppicpath11540893895_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8879.html,1815002,,,,犬猫,,,,0.80KG,￥270.4
科德士 宠物电推剪CP-7800适用 剪毛剃毛器,¥134.00,¥149.50,4.9,69,0,//img-new.boqiicdn.com/Data/Shop/0/88/8887/shoppicpath11407728339_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8887.html,1815009,,,,犬,,,,0.42KG,￥149.5
科德士 宠物电推剪剪毛剃毛器CP-9600适用 快充数显,¥297.00,¥322.40,4.9,34,0,//img-new.boqiicdn.com/Data/Shop/0/88/8889/shoppicpath11540893933_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8889.html,1815011,,,,犬猫,,,,0.49KG,￥322.4
科德士 宠物电推剪磨甲修毛2合1护理套装CP-5200适用,¥76.00,¥88.40,4.8,67,0,//img-new.boqiicdn.com/Data/Shop/0/88/8890/shoppicpath11540893992_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8890.html,1815012,盒装（修毛器机身、磨甲器、修毛器、润滑油、清洁刷、说明书）,,,狗狗,,,,0.16KG,￥88.4
科德士 宠物磨甲器CP-3300 宠物美容,¥91.00,¥106.60,4.8,102,0,//img-new.boqiicdn.com/Data/Shop/0/88/8891/shoppicpath21570514352_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8891.html,1815013,,,,狗狗,,,,0.27KG,￥106.6
科德士 电推剪配套刀头CP-6800/KP-3000适用 剪毛剃毛器配件,¥39.00,¥45.50,4.5,14,0,//img-new.boqiicdn.com/Data/Shop/0/88/8895/shoppicpath11407823822_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8895.html,1815017,,,,,,,,0.02KG,￥45.5
科德士 电推剪刀头CP-9500适用 剪毛剃毛器配件,¥77.00,¥88.40,5.0,2,0,//img-new.boqiicdn.com/Data/Shop/0/88/8896/shoppicpath11416534741_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8896.html,1815018,,,,,,,,0.03KG,￥88.4
科德士 电推剪配套刀头CP-9600适用 剪毛剃毛器配件,¥77.00,¥88.40,5.0,5,1,//img-new.boqiicdn.com/Data/Shop/0/88/8897/shoppicpath11416534805_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8897.html,1815019,,,,,,,,0.03KG,￥88.4
科德士 电推剪配套刀头CP-5000适用 剪毛剃毛器配件,¥31.00,¥39.00,4.7,3,0,//img-new.boqiicdn.com/Data/Shop/0/88/8898/shoppicpath11416534855_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8898.html,1815020,刀头长2.8*2.8cm,,,猫狗,,,,0.10KG,￥39.0
畅享 金枪鱼葛根海藻 哺乳期和幼猫粮 1.5kg,¥120.00,¥132.00,5.0,65,0,//img-new.boqiicdn.com/Data/Shop/0/89/8933/shoppicpath11586328429_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-8933.html,1032910,1.5kg,脱水牛肉、脱水海洋鱼肉、玉米,粗蛋白质≥31%、粗脂肪≥15%、钙≥1.1%,幼猫,小颗粒,牛肉,18个月,1.53KG,￥132.0
亚迪亚ADA 半圆形玻璃水族箱鱼缸KM-450 46cm长,,,0.0,0,0,//img-new.boqiicdn.com/Data/Shop/0/89/8971/shoppicpath11569225998_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,鱼缸,鱼缸/水族箱,https://shop.boqii.com/product-8971.html,3537303,,,,,,,,10.25KG,￥426.4
蓝宝 超白透明水族箱鱼缸AQ 30cm长,,,5.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/89/8980/shoppicpath11569226046_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,鱼缸,鱼缸/水族箱,https://shop.boqii.com/product-8980.html,3537401,,,,,,,,7.00KG,￥429.0
小宠EHD 猫狗用优能钙 120ml 补钙骨骼愈合及发育,¥35.00,¥42.00,4.9,523,3,//img-new.boqiicdn.com/Data/Shop/0/90/9020/shoppicpath11540867707_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,补钙健骨,https://shop.boqii.com/product-9020.html,1730621,,,,犬猫,,,18个月,0.17KG,￥42.0
比瑞吉 泰迪贵宾幼犬粮 2kg,¥170.00,¥213.60,4.9,134,3,//img-new.boqiicdn.com/Data/Shop/0/90/9026/shoppicpath11593496363_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9026.html,101527,2kg,鸭肉、糙米、鸡油、鱼肉、枸杞、野菊、海藻,粗蛋白质≥30%，粗脂肪≥14.5%，钙≥1.3%,泰迪幼犬,标准,鸭肉,18个月,2.05KG,￥213.6
比瑞吉 优选泰迪贵宾成犬粮 2kg,¥158.00,¥173.80,4.9,506,0,//img-new.boqiicdn.com/Data/Shop/0/90/9027/shoppicpath11592462858_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9027.html,101528,2kg,鸭肉粉，鸡肉粉，豌豆,粗蛋白≥25.5%、粗脂肪≥12.5%、钙≥0.8%,贵宾成犬,标准颗粒,混合口味,18个月,2.06KG,￥173.8
比瑞吉 比熊专用成犬粮 2kg,¥160.00,¥201.60,4.9,205,1,//img-new.boqiicdn.com/Data/Shop/0/90/9028/shoppicpath11593496624_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9028.html,101530,2kg,鲣鱼肉、鸡肉、鸭肉、糙米、豌豆,粗蛋白质≥23%，粗脂肪≥12%，粗纤维≤5%，水分≤10%，粗,成犬,标准粒,鲣鱼肉,18个月,2.05KG,￥201.6
比瑞吉 迷你雪纳瑞成犬粮 2kg,¥160.00,¥192.00,4.9,57,0,//img-new.boqiicdn.com/Data/Shop/0/90/9029/shoppicpath11593496469_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9029.html,101529,2kg,,粗蛋白质≥24%，粗脂肪≥11%，粗纤维≤5%，水分≤10%，粗,成犬,标准粒,鲣鱼肉,18个月,2.04KG,￥192.0
比瑞吉 小型幼犬粮奶糕 2kg,¥160.00,¥201.60,4.8,139,0,//img-new.boqiicdn.com/Data/Shop/0/90/9031/shoppicpath11593496731_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9031.html,101532,2kg,鸡肉、大米、鱼肉、鸡蛋粉、奶粉、鸡油,粗蛋白质≥30%，粗脂肪≥16%，钙≥1.3%,小型犬离乳期幼犬及哺乳期母犬,标准,鸡肉,18个月,2.06KG,￥201.6
比瑞吉 室内小型犬幼犬粮 2kg,¥145.00,¥178.80,4.8,77,0,//img-new.boqiicdn.com/Data/Shop/0/90/9034/shoppicpath11593497066_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9034.html,101535,2kg,鲣鱼肉、鸡肉、大米、豌豆、胡萝卜、海藻,粗蛋白质≥28%，粗脂肪≥15%，钙≥1.2%,小型幼犬,标准,鱼肉,18个月,2.05KG,￥178.8
比瑞吉 室内小型成犬粮 2kg,¥135.00,¥166.80,4.9,106,0,//img-new.boqiicdn.com/Data/Shop/0/90/9035/shoppicpath11593497213_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9035.html,101536,2kg,鲣鱼肉、鸡肉、大米,粗蛋白质≥22%、粗脂肪≥11%、钙≥1%,10月龄以上,标准粒,鸡肉,18个月,2.05KG,￥166.8
比瑞吉 皮毛优护小型全犬粮 2kg,¥171.00,¥188.10,4.7,417,11,//img-new.boqiicdn.com/Data/Shop/0/90/9036/shoppicpath11593497345_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9036.html,101537,2kg,鲣鱼肉、鸡肉、海藻,粗蛋白质≥23.5%、粗脂肪≥12.3%、钙≥1%,全犬,标准粒,鱼肉,18个月,2.04KG,￥188.1
比瑞吉 全价小型犬老年期犬粮 2kg,¥140.00,¥177.60,4.9,199,0,//img-new.boqiicdn.com/Data/Shop/0/90/9040/shoppicpath11593498385_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9040.html,101541,2kg,鸡肉、鱼肉、糙米、大米、豌豆,粗蛋白质≥26%，粗脂肪≥12%，粗纤维≤5%，水分≤10%，粗,小型老年犬,标准粒,鸡肉,18个月,2.07KG,￥177.6
比瑞吉 大中型犬老年犬粮 12kg,¥555.00,¥693.60,4.9,84,0,//img-new.boqiicdn.com/Data/Shop/0/90/9041/shoppicpath11593498503_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9041.html,101542,12kg,鸡肉、鱼肉、糙米,粗蛋白质≥26%、粗脂肪≥11%、钙≥0.6%,6岁以上犬,标准粒,鸡肉,18个月,12.31KG,￥693.6
比瑞吉 优选金毛成犬粮 12kg,¥565.00,¥705.60,4.9,80,0,//img-new.boqiicdn.com/Data/Shop/0/90/9043/shoppicpath11592200957_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9043.html,101544,12kg,鸡肉粉、大米、鸭肉粉,粗蛋白质≥24%、粗脂肪≥11%、钙≥0.8%,15月龄以上,标准粒,鸡肉,18个月,12.28KG,￥705.6
比瑞吉 拉布拉多专用成犬粮 12kg,¥565.00,¥705.60,4.9,51,0,//img-new.boqiicdn.com/Data/Shop/0/90/9045/shoppicpath11593498609_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9045.html,101546,12kg,鸡肉、大米、糙米、豌豆粉、胡萝卜,粗蛋白≥24.0%，粗脂肪≥11.0%，粗纤维≤5.0%，粗灰分,成犬,标准颗粒,鸡肉,18个月,12.30KG,￥705.6
比瑞吉 边牧专用成犬粮 12kg,¥565.00,¥705.60,4.9,122,0,//img-new.boqiicdn.com/Data/Shop/0/90/9047/shoppicpath11593499417_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9047.html,101548,12kg,鸡肉、大米、糙米、豌豆粉、胡萝卜,粗蛋白≥24.0%，粗脂肪≥11.0%，粗纤维≤5.0%，粗灰分,成犬,标准颗粒,鸡肉,18个月,12.31KG,￥705.6
比瑞吉 中大型幼犬粮 12kg,¥575.00,¥718.80,4.9,65,1,//img-new.boqiicdn.com/Data/Shop/0/90/9054/shoppicpath11593499988_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9054.html,101555,12kg,鸡肉、鱼肉、大米、豌豆粉、胡萝卜、海藻,粗蛋白质≥30.5%，粗脂肪≥16%，钙≥1.2%,中大型幼犬,标准,鸡肉,18个月,12.33KG,￥718.8
比瑞吉 中大型成犬粮 12kg,¥535.00,¥674.40,4.9,81,1,//img-new.boqiicdn.com/Data/Shop/0/90/9055/shoppicpath11593500216_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9055.html,101556,12kg,鸡肉、鱼肉、大米、胡萝卜、豌豆粉,粗蛋白质≥30.5%，粗脂肪≥11%，钙≥1.0%,大中型成犬,标准,鸡肉,18个月,12.30KG,￥674.4
捣蛋鬼 带墙网格式狗厕所  狗便盆,¥96.00,¥124.80,4.6,59,1,//img-new.boqiicdn.com/Data/Shop/0/90/9097/shoppicpath11468999599_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-9097.html,21312500,小号厕所长宽高约 50*38*3cm， 大号厕所约 66.5*5,,,狗狗,,,,2.62KG,￥124.8
捣蛋鬼 优质塑料猫狗粮量杯,¥5.80,¥6.40,4.8,225,0,//img-new.boqiicdn.com/Data/Shop/0/90/9099/shoppicpath31394682883_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-9099.html,21312502,,,,猫狗,,,,0.06KG,￥6.4
捣蛋鬼 狗猫粮喂食勺子粮铲,¥2.00,¥2.20,4.9,1085,0,//img-new.boqiicdn.com/Data/Shop/0/91/9100/shoppicpath11394682992_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-9100.html,21312503,,,,犬猫,,,,0.02KG,￥2.2
美食厨房 幼猫怀孕母猫奶糕猫粮 1磅454g,¥19.80,¥21.80,4.9,603,0,//img-new.boqiicdn.com/Data/Shop/0/91/9104/shoppicpath11562740395_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9104.html,1337601,454g,鲱鱼、鸡肉、三文鱼、鸡肉脂肪、鱼油、大豆油、全糙米、马铃薯蛋白、,粗蛋白≥36%、粗脂肪≥19%、钙≥0.9%,幼猫,标准粒,鱼肉,18个月,0.46KG,￥21.8
美食厨房 益生菌益生元挑嘴配方室内成猫粮 1磅454g,¥19.80,¥21.80,4.9,166,0,//img-new.boqiicdn.com/Data/Shop/0/91/9106/shoppicpath11517550953_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9106.html,1337603,454g,黑鲷鱼、鲑鱼、浓缩鸡肉、鸡肉脂肪,粗蛋白≥33%，粗脂肪≥14%，粗纤维≤7.0%，钙≥0.9%,成猫,标准,鱼肉鸡肉,18个月,0.47KG,￥21.8
美食厨房 甜菜纤维黑桑果去毛配方室内成猫粮 1磅454g,¥19.80,¥21.80,4.8,104,0,//img-new.boqiicdn.com/Data/Shop/0/91/9108/shoppicpath11517551065_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9108.html,1337605,1lb,黑鲷鱼、浓缩鸡肉、全糙米,粗蛋白质≥33%、粗脂肪≥14%、钙≥0.65%,成猫,标准粒,鱼肉,18个月,0.47KG,￥21.8
美食厨房 蔓越莓泌尿配方室内成猫粮 1磅454g,¥19.80,¥21.80,4.9,91,0,//img-new.boqiicdn.com/Data/Shop/0/91/9110/shoppicpath11517551144_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9110.html,1337607,454g,黑鲷鱼 鲑鱼 浓缩鸡肉,粗蛋白≥32%  粗脂肪≥13% 钙≥0.9%,肥猫、老年猫,标准颗粒,黑鲷鱼 鸡肉,18个月,0.47KG,￥21.8
酷极Kyjen 飞盘神龟发声毛绒狗狗玩具,¥139.00,¥152.90,5.0,14,0,//img-new.boqiicdn.com/Data/Shop/0/92/9200/shoppicpath11561034775_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗玩具,毛绒玩具,https://shop.boqii.com/product-9200.html,2238205,37.5*32.5*12.5cm,,,犬,,,,0.41KG,￥152.9
酷极Kyjen 耐咬网球训导狗狗玩具,¥9.90,¥14.30,4.8,588,0,//img-new.boqiicdn.com/Data/Shop/0/92/9206/shoppicpath11548209941_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗玩具,互动玩具,https://shop.boqii.com/product-9206.html,2238211,小号,,,犬,,,,0.49KG,￥14.3
酷极Kyjen 字谜寻宝益智狗狗玩具,¥79.00,¥86.90,4.9,10,0,//img-new.boqiicdn.com/Data/Shop/0/92/9218/shoppicpath11540897309_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗玩具,益智玩具,https://shop.boqii.com/product-9218.html,2238223,,,,犬,,,,0.62KG,￥86.9
美国酷极Kyjen 益智时尚狗狗慢食碗狗饭碗缓食碗 多规格,¥69.00,¥110.00,4.9,216,0,//img-new.boqiicdn.com/Data/Shop/0/92/9221/shoppicpath11614232832_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-9221.html,2238226,S号,,,全犬,,,,0.10KG,￥110.0
玫斯 无谷生鲜猫奶糕 1.36kg 45%鲜肉添加,¥129.00,¥159.60,4.9,89,0,//img-new.boqiicdn.com/Data/Shop/0/92/9240/shoppicpath11572242069_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9240.html,1038403,1.36kg,鲜肉、鸡肉粉、猪脂肪、马铃薯粉、银鱼,粗蛋白，粗脂肪，粗纤维，水分，钙,幼猫及怀孕哺乳期猫,标准颗粒,奶糕配方,18个月,1.40KG,￥159.6
玫斯 无谷生鲜全猫粮 6.8kg 45%鲜肉添加,¥360.00,¥446.40,5.0,1350,0,//img-new.boqiicdn.com/Data/Shop/0/92/9241/shoppicpath11572946991_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9241.html,1038404,6.8KG,牛肉、马铃薯、南美木薯、全干蛋粉、亚麻籽、芥菜籽油、三文鱼、蔓越,粗蛋白质≥30%，粗脂肪≥15%，水分≤12%，粗灰分≤9%，粗,幼猫、成猫、老年猫,适中,牛肉,18个月,6.84KG,￥446.4
玫斯 无谷生鲜全猫粮 1.36kg 45%鲜肉添加,¥95.00,¥118.80,5.0,1369,0,//img-new.boqiicdn.com/Data/Shop/0/92/9242/shoppicpath11572242607_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-9242.html,1038405,1.36kg,牛肉、马铃薯、南美木薯、全干蛋粉、蔓越橘、维生素、微量元素等,粗蛋白≥30%、粗脂肪≥15%、赖氨酸≥1.1%、钙≥1%、总磷,全猫,标准颗粒,牛肉马铃薯,18个月,1.40KG,￥118.8
伯纳天纯 鸡肉樱桃配方小型犬成犬粮 1.5kg,¥95.00,¥104.50,4.9,2175,3,//img-new.boqiicdn.com/Data/Shop/0/92/9267/shoppicpath11585727548_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9267.html,1038701,1.5kg,鸡肉、糙米、鱼肉粉、鸡脂、鱼油、卵凝脂、橄榄油、樱桃、果寡糖、维,粗蛋白≥26%、粗脂肪≥14%、钙≥1%、总磷≥0.8%,小型成犬,适中颗粒,鸡肉糙米樱桃,18个月,1.45KG,￥104.5
伯纳天纯 鸡肉樱桃配方小型犬幼犬粮 1.5kg,¥99.00,¥108.90,4.9,1042,3,//img-new.boqiicdn.com/Data/Shop/0/92/9268/shoppicpath11618455882_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9268.html,1038702,1.5kg,鸡肉、糙米、鱼肉粉、鸡脂、鱼油、卵凝脂、橄榄油、樱桃、果寡糖、维,粗蛋白≥30%、粗脂肪≥16%、钙≥1.2%、总磷≥0.8%,小型犬幼犬,小颗粒,鸡肉糙米樱桃,18个月,1.54KG,￥108.9
伯纳天纯 无谷羊肉马铃薯蓝莓全犬种幼犬奶糕粮 1.5kg,¥125.00,¥137.50,5.0,415,0,//img-new.boqiicdn.com/Data/Shop/0/92/9269/shoppicpath11553771199_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9269.html,1038703,1.5kg,羊肉、鸡肉、马铃薯,粗蛋白质≥29%、粗脂肪≥17.8%、钙≥1.2%,全犬种幼犬,标准粒,羊肉,18个月,1.54KG,￥137.5
伯纳天纯 无谷金枪鱼马铃薯蓝莓泰迪贵宾成犬粮 1.5kg,,,4.9,315,1,//img-new.boqiicdn.com/Data/Shop/0/92/9270/shoppicpath11553771376_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9270.html,1038704,1.5kg,金枪鱼、羊肉、马铃薯、鸡脂、鱼油、海藻、何首乌、越橘粉、果蔬等,粗蛋白≥30%、粗脂肪≥14%、OMEGA3≥0.3%、OMEG,泰迪贵宾成犬,适中颗粒,金枪鱼马铃薯蓝莓,18个月,1.54KG,￥141.9
伯纳天纯 小型成犬粮 250g,,,4.8,103,0,//img-new.boqiicdn.com/Data/Shop/0/93/9311/shoppicpath11566790806_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9311.html,1038707,,,,,,,,0.37KG,￥110.0
伯纳天纯 小型幼犬粮天然无谷低敏配方竹林鸡狗粮250g,,,4.8,59,1,//img-new.boqiicdn.com/Data/Shop/0/93/9312/shoppicpath11468224855_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9312.html,1038708,,,,,,,,0.38KG,￥30.0
伯纳天纯 全犬种奶糕天然无谷低敏配方狗粮250g,,,4.5,18,1,//img-new.boqiicdn.com/Data/Shop/0/93/9313/shoppicpath11468224987_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9313.html,1038709,,,,,,,,0.37KG,￥30.0
伯纳天纯 泰迪贵宾成犬粮天然无谷低敏配方深海鱼狗粮250g,,,4.8,18,4,//img-new.boqiicdn.com/Data/Shop/0/93/9314/shoppicpath11468225214_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9314.html,1038710,,,,,,,,0.37KG,￥30.0
伯纳天纯 泰迪贵宾幼犬粮天然无谷低敏配方深海鱼狗粮250g,,,4.5,19,0,//img-new.boqiicdn.com/Data/Shop/0/93/9315/shoppicpath11468225427_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9315.html,1038711,,,,,,,,0.37KG,￥30.0
伯纳天纯 泰迪贵宾幼犬奶糕天然无谷低敏配方山羊肉狗粮250g,,,4.6,8,0,//img-new.boqiicdn.com/Data/Shop/0/93/9316/shoppicpath11468225682_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-9316.html,1038712,,,,,,,,0.37KG,￥30.0
